slug,population,pop_5yr_pct,income,ind1,ind1_pct,ind2,ind2_pct,ind3,ind3_pct,ind4,ind4_pct,ind5,ind5_pct
augusta-ga,618022,4.0,66628,Education & health care,23.3,Professional & management,12.6,Manufacturing,11.6,Retail trade,10.6,"Arts, food & hospitality",9.7
palm-bay-fl,620533,7.6,75817,Education & health care,20.8,Professional & management,14.3,Manufacturing,12.1,Retail trade,11.8,"Arts, food & hospitality",9.5
jackson-ms,615908,6.1,60489,Education & health care,25.9,Retail trade,11.3,Manufacturing,10.0,"Arts, food & hospitality",8.4,Professional & management,8.1
harrisburg-pa,597894,5.3,79281,Education & health care,24.6,Retail trade,11.2,Professional & management,11.0,Manufacturing,8.0,Public administration,7.9
spokane-wa,591793,6.6,72836,Education & health care,25.9,Retail trade,12.0,Professional & management,10.3,"Arts, food & hospitality",8.7,Manufacturing,7.6
scranton-pa,567887,2.0,63656,Education & health care,25.5,Retail trade,12.8,Manufacturing,11.1,Professional & management,8.7,"Arts, food & hospitality",8.1
chattanooga-tn,569333,3.1,68666,Education & health care,21.7,Manufacturing,14.4,Retail trade,11.0,Professional & management,9.5,"Arts, food & hospitality",8.8
modesto-ca,552250,2.4,79661,Education & health care,21.9,Manufacturing,12.3,Retail trade,11.4,Construction,8.9,Professional & management,8.4
lancaster-pa,555151,3.1,83703,Education & health care,23.8,Manufacturing,14.4,Retail trade,11.9,Professional & management,9.8,Construction,8.0
portland-me,557764,5.4,88602,Education & health care,26.4,Retail trade,12.1,Professional & management,12.1,Manufacturing,9.6,"Arts, food & hospitality",8.4
youngstown-oh,428430,-21.5,55357,Education & health care,25.1,Manufacturing,15.5,Retail trade,12.0,"Arts, food & hospitality",10.1,Professional & management,7.3
lansing-mi,470434,-1.3,70886,Education & health care,27.2,Manufacturing,11.6,Retail trade,9.9,Professional & management,9.2,"Finance, insurance & real estate",8.3
fayetteville-ar,563436,7.0,77979,Education & health care,20.8,Retail trade,17.5,Manufacturing,11.7,Professional & management,10.2,"Arts, food & hospitality",8.5
fayetteville-nc,389851,1.2,58909,Education & health care,25.9,Retail trade,12.9,"Arts, food & hospitality",10.3,Professional & management,10.1,Manufacturing,9.0
lexington-ky,517378,2.1,70717,Education & health care,27.6,Retail trade,12.0,Manufacturing,11.7,Professional & management,11.2,"Arts, food & hospitality",8.5
pensacola-fl,516994,7.3,73588,Education & health care,23.0,Retail trade,12.2,Professional & management,11.9,"Arts, food & hospitality",10.6,"Finance, insurance & real estate",9.5
santa-rosa-ca,485642,-3.1,102840,Education & health care,22.5,Professional & management,12.7,Retail trade,11.0,Manufacturing,10.2,"Arts, food & hospitality",9.7
reno-nv,556539,22.5,84684,Education & health care,18.4,"Arts, food & hospitality",13.1,Professional & management,12.2,Retail trade,10.9,Manufacturing,10.2
huntsville-al,504712,12.0,83529,Education & health care,19.4,Professional & management,18.3,Manufacturing,14.2,Retail trade,10.2,Public administration,8.4
port-st--lucie-fl,506701,9.4,72506,Education & health care,22.0,Retail trade,12.6,Professional & management,12.6,"Arts, food & hospitality",10.5,Construction,9.5
lafayette-la,410883,-16.0,60910,Education & health care,25.4,Retail trade,12.1,Professional & management,10.0,"Arts, food & hospitality",8.4,Construction,7.9
myrtle-beach-sc,368937,-17.6,64623,Education & health care,19.9,"Arts, food & hospitality",17.3,Retail trade,14.2,Professional & management,11.0,Construction,9.4
springfield-mo,481671,5.0,61488,Education & health care,25.5,Retail trade,12.9,Professional & management,10.0,Manufacturing,9.2,"Arts, food & hospitality",9.1
visalia-ca,475774,3.3,69489,Education & health care,22.6,Agriculture & mining,14.9,Retail trade,10.5,Manufacturing,8.3,"Arts, food & hospitality",7.8
killeen-tx,485850,10.9,67203,Education & health care,24.2,Retail trade,11.5,Professional & management,10.5,"Arts, food & hospitality",9.4,Construction,8.3
asheville-nc,410817,-8.7,69236,Education & health care,23.9,"Arts, food & hospitality",12.8,Retail trade,12.4,Professional & management,11.1,Manufacturing,9.8
york-pa,459312,3.4,82238,Education & health care,22.0,Manufacturing,15.4,Retail trade,11.4,Professional & management,9.4,Transportation & utilities,7.4
vallejo-ca,450824,2.8,99994,Education & health care,22.7,Retail trade,11.7,Professional & management,11.0,Manufacturing,8.6,"Arts, food & hospitality",8.5
santa-maria-ca,443975,0.1,95977,Education & health care,23.0,Professional & management,13.0,"Arts, food & hospitality",11.2,Retail trade,9.6,Agriculture & mining,8.1
salinas-ca,435834,0.6,94486,Education & health care,21.2,Agriculture & mining,14.5,"Arts, food & hospitality",11.0,Professional & management,10.4,Retail trade,9.5
salem-or,435085,4.3,76010,Education & health care,23.2,Retail trade,11.9,Manufacturing,9.2,Professional & management,9.0,Construction,8.8
mobile-al,413162,-0.4,58119,Education & health care,23.3,Manufacturing,12.6,Retail trade,11.4,Professional & management,9.8,"Arts, food & hospitality",9.0
